index,filename,fecha,source,status
1,IMG_20250814_101835.jpg,20250814,Portugal,selected_for_annotation
5,IMG_20250814_101131.jpg,20250814,Portugal,selected_for_annotation
6,IMG_20250814_101212.jpg,20250814,Portugal,selected_for_annotation
8,IMG_20250814_103644.jpg,20250814,Portugal,selected_for_annotation
11,IMG_20250912_163857.jpg,20250912,Portugal,selected_for_annotation
12,IMG_20250912_164832.jpg,20250912,Portugal,selected_for_annotation
13,IMG_20250912_163108.jpg,20250912,Portugal,selected_for_annotation
16,IMG_20250912_164850.jpg,20250912,Portugal,selected_for_annotation
18,IMG_20250912_165630.jpg,20250912,Portugal,selected_for_annotation
21,IMG_20250912_164908.jpg,20250912,Portugal,selected_for_annotation
22,IMG_20250912_163914.jpg,20250912,Portugal,selected_for_annotation
27,IMG_20250912_164843.jpg,20250912,Portugal,selected_for_annotation
29,IMG_20250912_163457.jpg,20250912,Portugal,selected_for_annotation
30,IMG_20251001_173826.jpg,20251001,Portugal,selected_for_annotation
31,IMG_20251001_174153.jpg,20251001,Portugal,selected_for_annotation
32,IMG_20251001_175633.jpg,20251001,Portugal,selected_for_annotation
33,IMG_20251001_175256.jpg,20251001,Portugal,selected_for_annotation
34,IMG_20251001_174849.jpg,20251001,Portugal,selected_for_annotation
35,IMG_20251001_173235.jpg,20251001,Portugal,selected_for_annotation
36,IMG_20251001_174808.jpg,20251001,Portugal,selected_for_annotation
37,IMG_20251001_175433.jpg,20251001,Portugal,selected_for_annotation
42,IMG_20251001_173616.jpg,20251001,Portugal,selected_for_annotation
43,IMG_20251001_174715.jpg,20251001,Portugal,selected_for_annotation
44,IMG_20251001_173149.jpg,20251001,Portugal,selected_for_annotation
46,IMG_20251001_175318.jpg,20251001,Portugal,selected_for_annotation
47,IMG_20251001_174934.jpg,20251001,Portugal,selected_for_annotation
48,IMG_20251001_174113.jpg,20251001,Portugal,selected_for_annotation
49,IMG_20251001_174753.jpg,20251001,Portugal,selected_for_annotation
53,IMG_20251001_175516.jpg,20251001,Portugal,selected_for_annotation
54,IMG_20251001_175450.jpg,20251001,Portugal,selected_for_annotation
